Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2017 - 2018,Greece, ,GRC,,STA,"Includes people deprived of their citizenship under previous nationality legislation, stateless individuals with permanent residence who are recognized as ""stateless foreigners"" and other stateless persons resident in Greece.",,,,,,,
2015 - 2016,Iraq, ,IRQ,,STA,"Pending a more accurate study into stateless in Iraq, the estimate of stateless persons in Iraq has been adjusted to reflect the reduction of statelessness in line with Law 26 of 2006, which allows stateless persons to apply for nationality in certain circumstances.",,,,,,,
2018,Syrian Arab Rep., ,SYR,,STA,"According to some reports many stateless persons were naturalized between 2011-2018, but no official figures are yet confirmed.",,,,,,,
2015,South Africa, ,ZAF,,ASY,"An adjustment to 2015 end of year figures, in particular for the number of asylum applications pending on appeal and review, has resulted in a substantially lower figure for numbers of asylum-seekers reported in South Africa.",,,,,,,
2024 - 2025,Costa Rica, ,CRI,,STA,"The figure includes individuals recognised as stateless (refugees, asylum-seekers and not displaced persons) and individuals who filed a new application to request recognition as a stateless person and who are pending resolution.",,,,,,,
2019,Ukraine, ,UKR,,OOC,Figure of others of concern relates to persons who have specific protection needs and live in non-government-controlled areas or within 20 km of the contact line in government-controlled areas.,,,,,,,
2022,Dominican Rep., ,DOM,,STA,"UNHCR is currently working with the authorities and other actors to determine the size of the population affected by ruling 168-13 that found an effective nationality solution. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48% of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2020, over 1,830 Group B persons (800 of which were children) – out of the 7,159 approved individuals who had applied to the regularization plan established in Law 169-14 - had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). Up until December 2022, two naturalization decrees had been issued granting Dominican nationality to 799 applicants, all of whom are still pending to receive nationality documentation.",,,,,,,
2015,Zimbabwe, ,ZWE,,STA,Figure of stateless persons is an estimate and currently under review.,,,,,,,
2025,Russian Federation, ,RUS,,STA,"According to the results of the 2020 All-Russia Census finalized at end-2022, some 91,173 persons declared themselves stateless. The number of persons who have acquired Russian citizenship in each subsequent year has been subtracted from this total.",,,,,,,
2024 - 2025,Rwanda, ,RWA,,STA,"This figure presents an estimate of persons with undetermined nationality or those at risk of statelessness, based on a survey conducted by the Directorate General of Immigration and Emigration (DGIE) in 2010, which found approximately 9,500 persons to be at risk of statelessness. The 2023 population and housing census led to the identification of areas where populations reside who are stateless or at the risk thereof. A mapping exercise by the National Statelessness Taskforce led to the identification of additional populations (approx. 5,000 people) of undetermined nationality or at risk of statelessness.",,,,,,,
2024,Kyrgyzstan, ,KGZ,,REF,"Based on new arrivals information in the report of international organizations and UNHCR protection monitoring activities, UNHCR estimates there to be 23,400 people of various origins in Kyrgyzstan who may be in need of international protection.",,,,,,,
2016,Angola, ,AGO,,"REF,ASY,IDP,STA,OOC,HST,OIP",All figures relate to the end of 2015.,,,,,,,
2022,Turkmenistan, ,TKM,,STA,"In the absence of official data, the figure reported refers to stateless persons and persons with undetermined nationality identified by UNHCR partner organizations in Turkmenistan. The increase in the reported figure is due to the identification of new people in stateless situations.",,,,,,,
2021,Saudi Arabia, ,SAU,,ASY,"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 12,400 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",,,,,,,
2015,Italy, ,ITA,,STA,Updated figure from the National Institute of Statistics (ISTAT).,,,,,,,
2019 - 2021,China, ,CHN,,REF,"The 303,100 Vietnamese refugees are well integrated and in practice receive protection from the Government of China.",,,,,,,
2022,Albania, ,ALB,,STA,"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness). The start-year figures are based on an identification exercise conducted in 2021 which identified a further 1,120 persons at risk of statelessness, subtracting the number of undocumented persons who had their nationality confirmed by the Albanian authorities in 2021. During 2022, an additional 350 people were assisted to confirm their nationalities through administrative and/or judicial procedures, out of which 238 were fully resolved.",,,,,,,
2025,Thailand, ,THA,,REF,"In Thailand, the number of new refugee arrivals is not available, but the Operation Centre for Displaced Persons, Ministry of Interior of Thailand, estimates that 54,500 refugees fled Myanmar and subsequently returned home from Thailand’s Temporary Safety Areas as of June 2025.",,,,,,,
2020,Colombia, ,COL,,STA,"With regard to the statelessness figures, in 2020, Colombia granted nationality by birth to 7,700 children with undetermined nationality born in Colombia to Venezuelan parents displaced abroad. As these children were both identified as persons with undetermined nationality and granted Colombian nationality in 2020, there was no impact on the figures reported.",,,,,,,
2023,Albania, ,ALB,,STA,"The Albanian Government conducted the Population and Housing Census during the period of September–October 2023. The results of the census are expected to be published by the end of June 2024 and the number of persons at risk of statelessness identified will be updated accordingly.

The start-year figures are based on an identification exercise conducted in 2021 which identified a further 1,120 persons at risk of statelessness, subtracting the number of undocumented persons who had their nationality confirmed by the Albanian authorities in 2021. During 2022, an additional 350 people were assisted to confirm their nationalities through administrative and/or judicial procedures, out of which 238 were fully resolved.",,,,,,,
